"Conference,Super Division,Division,Franchise,Code,Primary Color,Secondary Color,Photo URL"
"Blue,North,Arctic,Foxes,FOX,#ea6409,#ffffff,https://cdn.mlesports.dev/public/img/team-logos/256/Foxes_256.png"
"Blue,North,Arctic,Puffins,PUF,#ec2c0d,#9bf9ff,https://cdn.mlesports.dev/public/img/team-logos/256/Puffins_256.png"
"Blue,North,Arctic,Sabres,SAB,#f36a22,#111111,https://cdn.mlesports.dev/public/img/team-logos/256/Sabres_256.png"
"Blue,North,Arctic,Tyrants,TYR,#98012e,#c4a87d,https://cdn.mlesports.dev/public/img/team-logos/256/Tyrants_256.png"
"Blue,North,Mystic,Comets,COM,#2db4e3,#f6518d,https://cdn.mlesports.dev/public/img/team-logos/256/Comets_256.png"
"Blue,North,Mystic,Eclipse,ECL,#261447,#ff6c11,https://cdn.mlesports.dev/public/img/team-logos/256/Eclipse_256.png"
"Blue,North,Mystic,Spectre,SPE,#58427c,#4dcf74,https://cdn.mlesports.dev/public/img/team-logos/256/Spectre_256.png"
"Blue,North,Mystic,Wizards,WIZ,#0066b2,#fdb927,https://cdn.mlesports.dev/public/img/team-logos/256/Wizards_256.png"
"Blue,South,Sky,Aviators,AVI,#006847,#b7b7b7,https://cdn.mlesports.dev/public/img/team-logos/256/Aviators_256.png"
"Blue,South,Sky,Hive,HIVE,#ffa000,#111111,https://cdn.mlesports.dev/public/img/team-logos/256/Hive_256.png"
"Blue,South,Sky,Hurricanes,HUR,#005030,#f47321,https://cdn.mlesports.dev/public/img/team-logos/256/Hurricanes_256.png"
"Blue,South,Sky,Jets,JETS,#0a2b58,#c7102e,https://cdn.mlesports.dev/public/img/team-logos/256/Jets_256.png"
"Blue,South,Storm,Blizzard,BLI,#385470,#a3bad2,https://cdn.mlesports.dev/public/img/team-logos/256/Blizzard_256.png"
"Blue,South,Storm,Lightning,LIT,#002868,#ffffff,https://cdn.mlesports.dev/public/img/team-logos/256/Lightning_256.png"
"Blue,South,Storm,Shadow,SHD,#333739,#d3bc8d,https://cdn.mlesports.dev/public/img/team-logos/256/Shadow_256.png"
"Blue,South,Storm,Wolves,WOL,#8ebae3,#221c35,https://cdn.mlesports.dev/public/img/team-logos/256/Wolves_256.png"
"Orange,East,Forge,Express,EXP,#00254c,#eeb311,https://cdn.mlesports.dev/public/img/team-logos/256/Express_256.png"
"Orange,East,Forge,Knights,KNI,#b20000,#8e8e8e,https://cdn.mlesports.dev/public/img/team-logos/256/Knights_256.png"
"Orange,East,Forge,Outlaws,OUT,#981821,#231c09,https://cdn.mlesports.dev/public/img/team-logos/256/Outlaws_256.png"
"Orange,East,Forge,Spartans,SPA,#7b1515,#ffb612,https://cdn.mlesports.dev/public/img/team-logos/256/Spartans_256.png"
"Orange,East,Sun,Bears,BEA,#62b6fe,#030029,https://cdn.mlesports.dev/public/img/team-logos/256/Bears_256.png"
"Orange,East,Sun,Bulls,BUL,#c30000,#111111,https://cdn.mlesports.dev/public/img/team-logos/256/Bulls_256.png"
"Orange,East,Sun,Pandas,PAN,#006100,#111111,https://cdn.mlesports.dev/public/img/team-logos/256/Pandas_256.png"
"Orange,East,Sun,Rhinos,RHI,#7d7d7d,#d9d9d9,https://cdn.mlesports.dev/public/img/team-logos/256/Rhinos_256.png"
"Orange,West,Tropic,Ducks,DUC,#00788c,#ffd100,https://cdn.mlesports.dev/public/img/team-logos/256/Ducks_256.png"
"Orange,West,Tropic,Hawks,HAW,#c30000,#0199b5,https://cdn.mlesports.dev/public/img/team-logos/256/Hawks_256.png"
"Orange,West,Tropic,Pirates,PIR,#333739,#ffffff,https://cdn.mlesports.dev/public/img/team-logos/256/Pirates_256.png"
"Orange,West,Tropic,Sharks,SHA,#329393,#f36a24,https://cdn.mlesports.dev/public/img/team-logos/256/Sharks_256.png"
"Orange,West,Volcanic,Demolition,DEM,#148c32,#fdc622,https://cdn.mlesports.dev/public/img/team-logos/256/Demolition_256.png"
"Orange,West,Volcanic,Dodgers,DOD,#041e42,#e7e9ea,https://cdn.mlesports.dev/public/img/team-logos/256/Dodgers_256.png"
"Orange,West,Volcanic,Elite,ELI,#572a84,#ea9300,https://cdn.mlesports.dev/public/img/team-logos/256/Elite_256.png"
"Orange,West,Volcanic,Flames,FLA,#c92a06,#f6c432,https://cdn.mlesports.dev/public/img/team-logos/256/Flames_256.png"
